Team,Team Code,Age Division,Matches,Wins,Losses,Same-Age Matches,Same-Age Wins,Same-Age Losses,NIT Matches,NIT Wins,NIT Losses,NIT Same-Age Matches,NIT Same-Age Wins,NIT Same-Age Losses
SASVBC G 18 RHYENNE,g18SPSER1AH,g18,10,10,0,9,9,0,0,0,0,0,0,0
Triangle 17 Black,g17TRNGL1CR,g17,10,10,0,8,8,0,0,0,0,0,0,0
VVA 16-Rosen,g16VAVBC1JVAJV,g16,10,10,0,3,3,0,2,2,0,0,0,0
Absolute 16 Black,g16ABSOL1NC,g16,21,9,12,7,5,2,13,5,8,4,3,1
AVA TX 18 Adidas,g18AVATX1LS,g18,21,9,9,19,8,8,3,0,3,2,0,2
Uno Girls 17 Elite,g17unovb1GL,g17,20,9,11,6,3,3,0,0,0,0,0,0
Academy 16O Yeti,g16TAVBC1HO,g16,18,9,9,14,6,8,8,3,5,4,0,4
AP 15 adidas,g15APERF1LS,g15,18,9,9,18,9,9,10,4,6,10,4,6
AZ REV 16 Premier,g16REVOL1AZ,g16,17,9,8,7,5,2,7,2,5,3,1,2
Club One AZ 17Platinum,g17ONEVB1AZ,g17,17,9,8,9,4,5,8,2,6,5,0,5
Munciana 17 Aztecs,g17MUNVB1HO,g17,17,9,8,10,6,4,2,0,2,1,0,1
SC Rockstar 15-Stevi,g15SCROC2SC,g15,17,9,8,17,9,8,9,4,5,9,4,5
Fight Club VB 18-1,g18FIGHT1HA,g18,16,9,7,16,9,7,0,0,0,0,0,0
HJV 13 ELITE,g13HOUJR1LS,g13,16,9,7,16,9,7,0,0,0,0,0,0
Juggernaut 16-National1,g16JUGGE1RM,g16,16,9,7,16,9,7,7,3,4,7,3,4
TAV Houston 18 Black,g18TAVHO1LS,g18,16,9,7,16,9,7,6,2,4,6,2,4
Vital 18-1 Gold,g18VITAL1NO,g18,16,9,7,16,9,7,12,6,6,12,6,6
AVA TX 17 Adidas,g17AVATX1LS,g17,15,9,6,12,7,5,3,0,3,3,0,3
AVC CLE 17 Red,g17ACAVC1OV,g17,15,9,6,15,9,6,11,5,6,11,5,6
Mintonette Sports m.71,g17MSPRT1OV,g17,15,9,6,7,5,2,8,3,5,4,2,2
Mintonette Sports m.72,g17MSPRT2OV,g17,15,9,6,8,5,3,3,0,3,2,0,2
VC United 151 Elite,g15VCUTD1GL,g15,15,9,6,9,6,3,2,0,2,2,0,2
Academy 17O Tsunami,g17TAVBC1HO,g17,14,9,5,11,8,3,5,2,3,2,1,1
CJV 15 Mizuno,g15CJVVB1CR,g15,14,9,5,14,9,5,0,0,0,0,0,0
FORZA1 NORTH 17 ONE,g17FORZN1SC,g17,14,9,5,12,7,5,12,7,5,10,5,5
HPSTL 15 Royal,g15HPSTL1GW,g15,14,9,4,2,1,1,2,1,1,0,0,0
Premier Nebraska 15 Black,g15PREMR2GP,g15,14,9,5,8,5,3,6,4,2,5,3,2
GP 14 National,g14GPONT1FL,g14,13,9,4,13,9,4,1,0,1,1,0,1
MADFROG 16'S N GREEN,g16FROGS1NT,g16,13,9,4,13,9,4,8,4,4,8,4,4
MN Select 14-1,g14MNSEL1NO,g14,13,9,4,5,4,1,0,0,0,0,0,0
Premier Nebraska 17 Gold,g17PREMR1GP,g17,13,9,4,6,4,2,9,5,4,5,3,2
STVA 16-2 Gilberto,g16STVAC2LS,g16,13,9,4,13,9,4,2,1,1,2,1,1
Tri-State Elite 14 Blue,g14TRIST1PR,g14,13,9,4,13,9,4,5,1,4,5,1,4
HPSTL 16 Royal,g16HPSTL1GW,g16,12,9,2,2,2,0,5,3,2,1,1,0
SG Elite 16 Roshambo,g16SGELT1SC,g16,12,9,3,12,9,3,12,9,3,12,9,3
1United 16N Blue,g161UNVB1NT,g16,11,9,1,6,5,1,1,1,0,1,1,0
AP 13 adidas,g13APERF1LS,g13,11,9,2,11,9,2,0,0,0,0,0,0
ARVC 14 Black Adidas,g14ARVCA1SU,g14,11,9,2,1,1,0,0,0,0,0,0,0
MADFROG 17'S N BLACK ENRI,g17FROGS2NT,g17,11,9,2,11,9,2,1,0,1,1,0,1
MAVS 14 Elite,g14MAVBC1HA,g14,11,9,2,11,9,2,3,1,2,3,1,2
ARVC 16 Black Adidas,g16ARVCA1SU,g16,10,9,1,4,4,0,0,0,0,0,0,0
Munciana 18 Samurai,g18MUNVB1HO,g18,10,9,1,7,7,0,9,8,1,6,6,0
SPVB 14 Elite,g14SPVBC1GL,g14,10,9,1,8,7,1,0,0,0,0,0,0
Triangle 15 Black,g15TRNGL1CR,g15,10,9,1,10,9,1,0,0,0,0,0,0
Vision 17 Gold,g17VSION1NC,g17,10,9,1,1,1,0,1,1,0,0,0,0
417 MoJrs 16 Elite,g16NETRE1HA,g16,9,9,0,9,9,0,0,0,0,0,0,0
COAST 18-1 Victor,g18COAST1SC,g18,9,9,0,9,9,0,2,2,0,2,2,0
CPA 16 Drew,g16CPAVB1EV,g16,9,9,0,4,4,0,1,1,0,0,0,0
ID Crush 16 Bower,g16IDCRS1IM,g16,9,9,0,9,9,0,7,7,0,7,7,0
Legacy 14-1 ADIDAS,g14LEGVC1LK,g14,9,9,0,9,9,0,6,6,0,6,6,0
Legacy 17-1 ADIDAS,g17LEGVC1LK,g17,9,9,0,9,9,0,6,6,0,6,6,0
SASVBC G 17 DAN,g17SPSER1AH,g17,9,9,0,5,5,0,1,1,0,1,1,0
TAV 17 Black Jon,g17TXADV1NT,g17,9,9,0,9,9,0,8,8,0,8,8,0
TAV 18 Black Jason,g18TXADV1NT,g18,9,9,0,9,9,0,4,4,0,4,4,0
PowerPlex 18U Wieland,g18PWRPX1IA,g18,19,8,11,17,7,10,10,4,6,9,4,5
GJ 17 ADIDAS,g17GJVBC1FL,g17,18,8,10,17,8,9,9,2,7,8,2,6
SA Juniors 17 Adidas,g17SAJVB1LS,g17,17,8,9,14,6,8,5,1,4,3,0,3
AZ REV 15 Premier,g15REVOL1AZ,g15,16,8,8,7,5,2,8,5,3,5,3,2
NPJ Portland 18 National,g18NPJPD1CE,g18,16,8,8,10,4,6,1,0,1,0,0,0
FRVBC 16-1 Black,g16FRVBC1RM,g16,15,8,7,15,8,7,6,1,5,6,1,5
Invasion 17-Black,g17INVAS1HA,g17,15,8,5,15,8,5,1,0,1,1,0,1
Mintonette Sports m.82,g18MSPRT2OV,g18,15,8,7,13,7,6,3,1,2,2,1,1
MN Select 13-1,g13MNSEL1NO,g13,15,8,7,5,5,0,2,0,2,0,0,0
SC Rockstar 14- Nicole,g14SCROC2SC,g14,15,8,7,15,8,7,10,4,6,10,4,6
SG Elite 17 Roshambo,g17SGELT1SC,g17,15,8,7,15,8,7,7,2,5,7,2,5
HPSTL 18 Royal,g18HPSTL1GW,g18,14,8,6,8,5,3,7,1,6,4,1,3
OK Charge 16 UA,g16CHARG1OK,g16,14,8,6,8,4,4,8,4,4,7,3,4
Shockwave 16 Black,g16SHOCK1HA,g16,14,8,6,14,8,6,6,1,5,6,1,5
Sunshine 15 Pacific,g15SUNSH1SC,g15,14,8,6,14,8,6,6,4,2,6,4,2
Sunshine 16 LA,g16SUNSH1SC,g16,14,8,6,14,8,6,10,4,6,10,4,6
Triangle 18 Black,g18TRNGL1CR,g18,14,8,6,8,3,5,4,2,2,4,2,2
1st Alliance 17 Silver,g17allia2GL,g17,13,8,5,10,7,3,3,1,2,2,1,1
Chi City Elite 171,g17CHICI1GL,g17,13,8,5,10,5,5,1,0,1,1,0,1
CUVC 15 Open,g15CARUN1CR,g15,13,8,5,13,8,5,4,2,2,4,2,2
HJV 17 PREMIER,g17HOUJR2LS,g17,13,8,5,11,7,4,7,3,4,5,2,3
Mintonette Sports m.51,g15MSPRT1OV,g15,13,8,5,13,8,5,5,1,4,5,1,4
PVA 17 ELITE,g17PVAKC1HA,g17,13,8,5,5,4,1,10,6,4,3,2,1
Stars 18 Helle,g18STARS1PM,g18,13,8,5,10,7,3,3,1,2,3,1,2
TAV Houston 15 Black,g15TAVHO1LS,g15,13,8,5,13,8,5,5,1,4,5,1,4
H Skyline 17 Royal,g17HOSKY1LS,g17,12,8,4,11,7,4,10,6,4,9,5,4
Iowa United 161 Elite,g16IAUTD1IA,g16,12,8,4,4,3,1,4,1,3,0,0,0
Kokoro Volleyball 17-1,g17KOKRO1NO,g17,12,8,4,10,6,4,2,2,0,1,1,0
MAVS 17 Elite,g17MAVBC1HA,g17,12,8,4,12,8,4,8,4,4,8,4,4
NKYVC 14-1 Tsunami,g14NKYVC1PR,g14,12,8,4,12,8,4,3,1,2,3,1,2
SG Elite 18 Roshambo,g18SGELT1SC,g18,12,8,4,12,8,4,3,2,1,3,2,1
WAVE 16-Nancy,g16WVEVB2SC,g16,12,8,4,12,8,4,7,5,2,7,5,2
Dal Skyline 17 Royal-Sean,g17SKYLN2NT,g17,11,8,2,11,8,2,2,1,1,2,1,1
EXCEL 18 National Red,g18EXCEL1NT,g18,11,8,2,11,8,2,2,0,1,2,0,1
H Skyline 16 Royal,g16HOSKY1LS,g16,11,8,3,8,6,2,10,7,3,8,6,2
MAVS 13 Elite,g13MAVBC1HA,g13,11,8,3,11,8,3,4,1,3,4,1,3
PowerPlex 15U Mendieta,g15PWRPX1IA,g15,11,8,3,6,5,1,0,0,0,0,0,0
AVC CLE 15 Red,g15ACAVC1OV,g15,10,8,2,10,8,2,6,5,1,6,5,1
AZ Sky 12 Gold,g12AZSKY1AZ,g12,10,8,2,7,5,2,0,0,0,0,0,0
Munciana 13 Stingrays,g13MUNVB1HO,g13,10,8,2,10,8,2,0,0,0,0,0,0
Munciana 14 Chipmunks,g14MUNVB1HO,g14,10,8,2,10,8,2,1,1,0,1,1,0
STVA 16-1 Madison,g16STVAC1LS,g16,10,8,2,10,8,2,2,1,1,2,1,1
1st Alliance 16 Silver,g16allia2GL,g16,9,8,1,4,3,1,1,1,0,1,1,0
A5 16-Gabe,g16AFIVE1SO,g16,9,8,1,9,8,1,9,8,1,9,8,1
CoJrs 15Candace,g15COJRS2RM,g15,9,8,1,9,8,1,1,1,0,1,1,0
Legacy 16-1 ADIDAS,g16LEGVC1LK,g16,9,8,1,9,8,1,6,5,1,6,5,1
MAVS 15 Elite,g15MAVBC1HA,g15,9,8,1,0,0,0,1,1,0,0,0,0
MVVC G 15 Red,g15MOUVI1NC,g15,9,8,1,3,3,0,0,0,0,0,0,0
Nebraska ONE 17 Synergy,g17NEONE1GP,g17,9,8,1,5,5,0,8,7,1,4,4,0
CoJrs 14Jen,g14COJRS1RM,g14,8,8,0,8,8,0,0,0,0,0,0,0
OT 15 T Randy,g15OTBVA1FL,g15,8,8,0,8,8,0,2,2,0,2,2,0
Tribe 16 VKTRY Cardinal,g16TRIBE1FL,g16,8,8,0,8,8,0,3,3,0,3,3,0
PVA 12 ELITE,g12PVAKC1HA,g12,23,7,1,22,7,1,0,0,0,0,0,0
AZ EVJ 15 Elite,g15AZEVJ1AZ,g15,17,7,10,8,4,4,4,0,4,2,0,2
AZ EVJ 17 Elite,g17AZEVJ1AZ,g17,16,7,9,7,4,3,8,3,5,4,1,3
LOVB 17-Melissa,g17SCROC2SC,g17,16,7,9,16,7,9,12,3,9,12,3,9
VC United 161 Elite,g16VCUTD1GL,g16,15,7,8,14,7,7,3,0,3,2,0,2
WAVE 14-Nancy,g14WVEVB2SC,g14,15,7,8,15,7,8,5,0,5,5,0,5
EC Power KOP 18 Black,g18ECPWR1KE,g18,14,7,7,14,7,7,10,4,6,10,4,6
SC Rockstar 16-Carlos,g16SCROC1SC,g16,14,7,7,14,7,7,10,4,6,10,4,6
WAVE 16-Scott,g16WVEVB1SC,g16,14,7,7,14,7,7,13,6,7,13,6,7
ARIZONA STORM 13 THUNDER,g13STORM1AZ,g13,12,7,5,2,2,0,2,1,1,0,0,0
AVA TX 15 Adidas,g15AVATX1LS,g15,12,7,4,12,7,4,1,0,1,1,0,1
Iowa United 171 Elite,g17IAUTD1IA,g17,12,7,5,10,5,5,6,2,4,5,1,4
MADFROG 18'S N BLACK SEAR,g18FROGS2NT,g18,12,7,5,12,7,5,2,1,1,2,1,1
MN Select 12-1,g12MNSEL1NO,g12,12,7,5,0,0,0,0,0,0,0,0,0
MN Select 17-1,g17MNSEL1NO,g17,12,7,5,12,7,5,10,5,5,10,5,5
NKYVC 15-1 Tsunami,g15NKYVC1PR,g15,12,7,5,12,7,5,6,3,3,6,3,3
Premier 18 Black,g18PREMR1NT,g18,12,7,5,9,6,3,2,0,2,1,0,1
Rockwood Thunder 15 Elite,g15RWDTH1GW,g15,12,7,5,0,0,0,1,0,1,0,0,0
Top Select 16 Elite,g16TSVBA1FL,g16,12,7,5,12,7,5,5,2,3,5,2,3
H Skyline 15 Royal,g15HOSKY1LS,g15,11,7,4,11,7,4,9,5,4,9,5,4
Northern Lights 15-1,g15NLITE1NO,g15,11,7,4,8,6,2,1,1,0,1,1,0
Rockwood Thunder 16 Elite,g16RWDTH1GW,g16,11,7,3,3,2,1,4,2,2,1,0,1
SPVB 16 Elite,g16SPVBC1GL,g16,11,7,4,9,5,4,5,2,3,4,1,3
STVA 17-1 Jordan,g17STVAC1LS,g17,11,7,4,11,7,4,4,1,3,4,1,3
TW Skyline 16 Royal,g16TWSKY1LS,g16,11,7,4,11,7,4,6,3,3,6,3,3
MKE Sting 18 Gold,g18MLWST1BG,g18,10,7,3,10,7,3,6,4,2,6,4,2
Munciana 15 Blue,g15MUNVB1HO,g15,10,7,3,8,7,1,5,2,3,3,2,1
Vision 15 Gold,g15VSION1NC,g15,10,7,3,4,4,0,2,2,0,1,1,0
Elevation 13-Molly,g13eleva1OV,g13,9,7,2,9,7,2,2,1,1,2,1,1
FaR Out 18 Black,g18fovbc1LK,g18,9,7,2,6,4,2,4,2,2,4,2,2
IMGA Ascender Elite 18-1,g18IMGVB1FL,g18,9,7,2,9,7,2,6,4,2,6,4,2
OT 14 T Jody,g14OTBVA1FL,g14,9,7,2,9,7,2,3,2,1,3,2,1
Rockwood Thunder 17 Elite,g17RWDTH1GW,g17,9,7,1,2,1,0,4,2,1,1,0,0
Triangle 16 Black,g16TRNGL1CR,g16,9,7,2,9,7,2,0,0,0,0,0,0
TW Skyline 15 Royal,g15TWSKY1LS,g15,9,7,2,9,7,2,3,2,1,3,2,1
UNION 16 Black,g16UNION1PR,g16,9,7,2,9,7,2,1,0,1,1,0,1
Vision 15 Blue,g15VSION2NC,g15,9,7,2,6,5,1,1,0,1,1,0,1
COAST 18-2 Caio,g18COAST2SC,g18,8,7,1,8,7,1,0,0,0,0,0,0
DYNASTY 17 Blue,g17TMDYN2HA,g17,8,7,1,6,6,0,1,0,1,0,0,0
Legacy 15-1 ADIDAS,g15LEGVC1LK,g15,8,7,1,8,7,1,6,5,1,6,5,1
MVVC G 17 Red,g17MOUVI1NC,g17,8,7,1,3,3,0,1,0,1,0,0,0
NORCO 17 Black,g17NORCO1RM,g17,8,7,1,6,5,1,5,4,1,4,3,1
OT 17 T Aaron,g17OTBVA1FL,g17,8,7,1,8,7,1,4,3,1,4,3,1
PineappleHP 17U,g17PHPVB1HO,g17,8,7,1,5,5,0,4,3,1,3,3,0
TAV 15 Black Jason,g15TXADV1NT,g15,8,7,1,8,7,1,4,3,1,4,3,1
SC Rockstar 16-Brandon,g16SCROC2SC,g16,23,6,17,23,6,17,19,2,17,19,2,17
ARIZONA STORM 16LIGHTNING,g16STORM2AZ,g16,16,6,10,3,1,2,1,0,1,1,0,1
Club One AZ 16Platinum,g16ONEVB1AZ,g16,16,6,10,7,3,4,6,1,5,2,0,2
NPJ Salem 15 Premier,g15NPJVB2CE,g15,16,6,10,5,5,0,0,0,0,0,0,0
MoCo MAVS 17 Red,g17MCMAV1LS,g17,15,6,9,15,6,9,6,0,6,6,0,6
NPJ Salem 17 Premier,g17NPJVB2CE,g17,15,6,9,11,6,5,1,0,1,0,0,0
WAVE 13-Tammy,g13WVEVB1SC,g13,15,6,9,15,6,9,6,0,6,6,0,6
AVC CLE 18 Red,g18ACAVC1OV,g18,14,6,8,14,6,8,8,2,6,8,2,6
VC United 171 Elite,g17VCUTD1GL,g17,14,6,8,7,3,4,4,0,4,2,0,2
WPVC 15 Armour Black,g15WPVCB1FL,g15,14,6,8,14,6,8,3,0,3,3,0,3
Mintonette Sports m.52,g15MSPRT2OV,g15,13,6,7,13,6,7,4,0,4,4,0,4
Academy 18 Diamond,g18NCVBA1CR,g18,12,6,6,10,4,6,2,1,1,2,1,1
ARIZONA STORM 17LIGHTNING,g17STORM2AZ,g17,12,6,6,9,4,5,3,1,2,3,1,2
FORZA1 15 ONE,g15Forza1SC,g15,12,6,6,12,6,6,6,0,6,6,0,6
SG Elite 14 Roshambo,g14SGELT1SC,g14,12,6,6,12,6,6,3,0,3,3,0,3
H Skyline 14 Royal,g14HOSKY1LS,g14,11,6,5,11,6,5,6,1,5,6,1,5
H Skyline 16 Black,g16HOSKY2LS,g16,11,6,5,11,6,5,6,1,5,6,1,5
MN Select 15-1,g15MNSEL1NO,g15,10,6,4,8,5,3,1,0,1,1,0,1
Northern Lights 18-1,g18NLITE1NO,g18,10,6,4,7,4,3,2,0,2,1,0,1
Premier Nebraska 13 Gold,g13PREMR1GP,g13,10,6,4,2,1,1,2,1,1,1,0,1
COAST 14-1 Said,g14COAST1SC,g14,9,6,3,9,6,3,5,2,3,5,2,3
CoJrs 17Tara/Amy,g17COJRS2RM,g17,9,6,3,8,6,2,1,0,1,1,0,1
Colorado Elite 17 Grizzly,g17COELT1RM,g17,9,6,3,8,5,3,3,1,2,3,1,2
H Skyline 15 Black,g15HOSKY2LS,g15,9,6,3,9,6,3,4,1,3,4,1,3
NORCO 16 Black,g16NORCO1RM,g16,9,6,3,9,6,3,9,6,3,9,6,3
Tribe 18 VKTRY Cardinal,g18TRIBE1FL,g18,9,6,3,9,6,3,2,2,0,2,2,0
WD Nation 17 Blue,g17WDVBC1BY,g17,9,6,3,9,6,3,2,1,1,2,1,1
3DGE 171 Gold,g17EDGEP1KE,g17,8,6,2,8,6,2,6,4,2,6,4,2
AVC CLE 16 Red,g16ACAVC1OV,g16,8,6,2,8,6,2,7,5,2,7,5,2
Club V 18 Prodigy Wayne,g18CLUBV1IM,g18,8,6,2,8,6,2,3,2,1,3,2,1
Elevation 13 Peak,g13ELEVB1RM,g13,8,6,2,8,6,2,0,0,0,0,0,0
Elevation 16 Renfro,g16eleva1OV,g16,8,6,2,8,6,2,3,1,2,3,1,2
ID Crush 17 Bower,g17IDCRS1IM,g17,8,6,2,6,5,1,6,4,2,4,3,1
Legacy 17-2 ADIDAS,g17LEGVC2LK,g17,8,6,2,8,6,2,4,2,2,4,2,2
MiElite 15 Mizuno,g15MIEVA1JVAJV,g15,8,6,2,7,5,2,0,0,0,0,0,0
MVVC G 14 Red,g14MOUVI1NC,g14,8,6,2,1,1,0,0,0,0,0,0,0
OT 15 O Christian,g15OTBVA2FL,g15,8,6,2,8,6,2,2,1,1,2,1,1
Tribe 17 VKTRY Cardinal,g17TRIBE1FL,g17,8,6,2,7,6,1,4,2,2,3,2,1
VOLT 16-1,g16WFRGO1NO,g16,8,6,2,8,6,2,3,2,1,3,2,1
CoJrs 15Shannon,g15COJRS1RM,g15,7,6,1,7,6,1,1,1,0,1,1,0
CoJrs 17Kevin,g17COJRS1RM,g17,7,6,1,5,4,1,3,2,1,3,2,1
CPA 17 Benson,g17CPAVB1EV,g17,7,6,1,5,4,1,1,0,1,1,0,1
CVC 13 BLACK,g13CVBCO1OV,g13,7,6,1,7,6,1,2,1,1,2,1,1
OT 16 O Semei,g16OTBVA2FL,g16,7,6,1,7,6,1,2,1,1,2,1,1
Pohaku 14-1,g14POHAK1HA,g14,7,6,1,1,1,0,0,0,0,0,0,0
Topeka Saints 16 Gold,g16TSNTS1HA,g16,7,6,1,3,3,0,3,3,0,3,3,0
Vegas Aces 18 REN,g18VACES1SC,g18,7,6,1,7,6,1,0,0,0,0,0,0
A5 14 Helen,g14AFIVE1AAU45,g14,6,6,0,6,6,0,0,0,0,0,0,0
Academy 16 Diamond,g16NCVBA1AAU13,g16,6,6,0,6,6,0,0,0,0,0,0,0
Madtown 161 National,g16MADJR1BG,g16,6,6,0,2,2,0,1,1,0,0,0,0
TPV 16-Maverick,g16TPV261SO,g16,6,6,0,6,6,0,0,0,0,0,0,0
Mizuno CNVBC 15Coach Ib,g15CNVBC1HA,g15,18,5,9,13,4,6,1,1,0,1,1,0
JJVA 17 Teal,g17JAXJR1FL,g17,15,5,10,10,2,8,5,1,4,3,0,3
WAVE 17-Casey,g17WVEVB2SC,g17,15,5,10,15,5,10,7,1,6,7,1,6
AZ EVJ 16 Elite,g16AZEVJ1AZ,g16,14,5,9,6,1,5,4,1,3,1,0,1
OMNI 18 National,g18OMNIV1NC,g18,14,5,9,8,3,5,6,2,4,4,1,3
Shockwave 15 Black,g15SHOCK1HA,g15,14,5,8,14,5,8,7,1,5,7,1,5
Austin Skyline 14 Royal,g14ASKYL1LS,g14,12,5,7,12,5,7,2,0,2,2,0,2
FORZA1 17 ONE,g17Forza1SC,g17,12,5,7,12,5,7,6,0,6,6,0,6
NKYVC 17-1 Tsunami,g17NKYVC1PR,g17,12,5,7,10,5,5,9,2,7,7,2,5
Munciana 12 Peppers,g12MUNVB1HO,g12,11,5,6,11,5,6,1,0,1,1,0,1
UNION 18 Black,g18UNION1PR,g18,11,5,6,11,5,6,6,2,4,6,2,4
Vital 17-1 Gold,g17VITAL1NO,g17,11,5,6,9,4,5,4,1,3,2,0,2
Austin Skyline 16 Royal,g16ASKYL1LS,g16,10,5,5,10,5,5,1,0,1,1,0,1
K2 18 Jota,g18KTVBC1SO,g18,10,5,5,7,5,2,6,1,5,3,1,2
Northern Lights 17-1,g17NLITE1NO,g17,10,5,5,9,4,5,8,3,5,7,2,5
Rhythm 16 Christina,g16RHVBC1SO,g16,10,5,5,2,0,2,0,0,0,0,0,0
UNION 17 Black,g17UNION1PR,g17,10,5,5,6,4,2,0,0,0,0,0,0
FC Elite 14 Navy,g14FCELI1BG,g14,9,5,4,2,1,1,2,1,1,1,0,1
NorCal 15-1 Black,g15NORCA1JVAJV,g15,9,5,4,5,4,1,1,0,1,1,0,1
NORCO 18 Black,g18NORCO1RM,g18,9,5,4,9,5,4,6,5,1,6,5,1
OT 14 O Omi,g14OTBVA2FL,g14,9,5,4,9,5,4,4,0,4,4,0,4
OT 16 T JP,g16OTBVA1FL,g16,9,5,4,9,5,4,4,3,1,4,3,1
A5 15-Kelly,g15AFIVE1SO,g15,8,5,3,8,5,3,8,5,3,8,5,3
Club V 17 Prodigy Reed,g17CLUBV1IM,g17,8,5,3,8,5,3,8,5,3,8,5,3
CVC 15 BLACK,g15CVBCO1OV,g15,8,5,3,8,5,3,3,2,1,3,2,1
D Skyline 15 Royal-David,g15SKYLN2NT,g15,8,5,3,8,5,3,8,5,3,8,5,3
Elevation 14 Case,g14eleva1OV,g14,8,5,3,8,5,3,5,2,3,5,2,3
H Skyline 17 Black,g17HOSKY2LS,g17,8,5,3,7,5,2,3,1,2,2,1,1
PineappleHP 14U,g14PHPVB1HO,g14,8,5,3,5,4,1,2,2,0,1,1,0
PineappleHP 16U,g16PHPVB1HO,g16,8,5,3,7,4,3,4,3,1,3,2,1
Pohaku 18-1,g18POHAK1HA,g18,8,5,3,8,5,3,4,3,1,4,3,1
TAV 16 Black Josh,g16TXADV2NT,g16,8,5,3,8,5,3,8,5,3,8,5,3
Tribe 15 VKTRY Cardinal,g15TRIBE1FL,g15,8,5,3,8,5,3,2,0,2,2,0,2
TW Skyline 17 Royal,g17TWSKY1LS,g17,8,5,3,8,5,3,0,0,0,0,0,0
VCNebraska 16 Elite,g16VCNEB1GP,g16,8,5,3,8,5,3,6,3,3,6,3,3
VVA 17-Wiechmann,g17VAVBC1JVAJV,g17,8,5,3,3,3,0,1,0,1,0,0,0
AVC CLE 14 Red,g14ACAVC1OV,g14,7,5,2,7,5,2,2,0,2,2,0,2
Elevation 15 ED,g15eleva1OV,g15,7,5,2,7,5,2,4,2,2,4,2,2
Elevation 17 Chicas,g17eleva1OV,g17,7,5,2,7,5,2,1,0,1,1,0,1
EXCEL 15 National Red,g15EXCEL1NT,g15,7,5,2,7,5,2,1,0,1,1,0,1
ID Crush 15 Yett,g15IDCRS1IM,g15,7,5,2,7,5,2,2,0,2,2,0,2
KC Power 12-1,g12POWER1HA,g12,7,5,2,7,5,2,0,0,0,0,0,0
Legacy 15-2 ADIDAS,g15LEGVC2LK,g15,7,5,2,7,5,2,3,1,2,3,1,2
MVVC G 16 Red,g16MOUVI1NC,g16,7,5,2,5,4,1,1,0,1,0,0,0
Shockwave 17 Black,g17SHOCK1HA,g17,7,5,2,5,3,2,4,2,2,4,2,2
SynergyForce G 15-1 Natl,g15FORCE1JVAJV,g15,7,5,2,4,3,1,1,0,1,1,0,1
Topeka Impact 18-1,g18MPACT1HA,g18,7,5,2,7,5,2,0,0,0,0,0,0
Academy 15 Diamond,g15NCVBA1AAU13,g15,6,5,1,6,5,1,0,0,0,0,0,0
EXCEL 12 National Red,g12EXCEL1NT,g12,6,5,1,6,5,1,1,0,1,1,0,1
KC Power 17-1,g17POWER1HA,g17,6,5,0,6,5,0,2,2,0,2,2,0
OK Charge 17 UA Tulsa,g17CHARG3OK,g17,6,5,1,0,0,0,0,0,0,0,0,0
417 MoJrs 17 Elite Black,g17NETRE1HA,g17,5,5,0,3,3,0,0,0,0,0,0,0
Tstreet 14-Taylor,g14TSTRT1SC,g14,16,4,12,16,4,12,10,2,8,10,2,8
Legacy 18-2 ADIDAS,g18LEGVC2LK,g18,15,4,11,15,4,11,2,0,2,2,0,2
NPJ Salem 14 National,g14NPJVB1CE,g14,14,4,10,7,4,3,1,0,1,0,0,0
OT 18 J Stephen,g18OTBVA3FL,g18,14,4,10,14,4,10,5,1,4,5,1,4
EXCEL 16 National Red,g16EXCEL1NT,g16,13,4,8,13,4,8,8,1,7,8,1,7
CUVC 16 Open,g16CARUN1CR,g16,12,4,8,12,4,8,5,1,4,5,1,4
SIVBC 18 Tsunami,g18SUDNI1PS,g18,12,4,8,10,3,7,4,0,4,4,0,4
A5 17 Calvin,g17AFIVE1SO,g17,9,4,5,9,4,5,8,4,4,8,4,4
Colorado Elite 16 Grizzly,g16COELT1RM,g16,9,4,5,9,4,5,3,0,3,3,0,3
OT 17 J John,g17OTBVA3FL,g17,9,4,5,9,4,5,3,0,3,3,0,3
Drive Nation 17-Red,g17DRIVE1NT,g17,8,4,4,8,4,4,8,4,4,8,4,4
NorCal 16-1 Black,g16NORCA1JVAJV,g16,8,4,4,6,4,2,0,0,0,0,0,0
OMNI 16 National,g16OMNIV1JVAJV,g16,8,4,4,1,0,1,2,0,2,0,0,0
PineappleHP 15U,g15PHPVB1HO,g15,8,4,4,5,3,2,2,0,2,1,0,1
Pohaku 15-1,g15POHAK1HA,g15,8,4,4,1,0,1,0,0,0,0,0,0
Premier Nebraska 16 Gold,g16PREMR1GP,g16,8,4,4,5,2,3,6,3,3,3,1,2
TAV 14 Black,g14TXADV1NT,g14,8,4,4,8,4,4,1,1,0,1,1,0
Triangle 14 Black,g14TRNGL1CR,g14,8,4,4,8,4,4,0,0,0,0,0,0
Tstreet 16-Bailey,g16TSTRT1SC,g16,8,4,4,8,4,4,8,4,4,8,4,4
Big Sky 16-1,g16BGSKY1EV,g16,7,4,3,7,4,3,6,3,3,6,3,3
CoJrs 16Bri,g16COJRS2RM,g16,7,4,3,7,4,3,4,1,3,4,1,3
Elevation 16 Peak,g16ELEVB1RM,g16,7,4,3,7,4,3,7,4,3,7,4,3
FC Elite 18 Elite,g18FCELI1BG,g18,7,4,3,7,4,3,3,2,1,3,2,1
Mintonette Sports m.31,g13MSPRT1OV,g13,7,4,3,7,4,3,1,0,1,1,0,1
