TeamName,Team Code,Product,Age Group,Team Team Code
SCB 17 Salty Marcus,B17112822IM,2025 BOYS West Coast Invite Entry Fee 17U Entry Fee - BOYS,17U Entry Fee - BOYS,B17112822IM
SCB 17 Salty Rob,B17112821IM,2025 BOYS West Coast Invite Entry Fee 17U Entry Fee - BOYS,17U Entry Fee - BOYS,B17112821IM
SCB 18 Salty Reed,B18112821IM,2025 BOYS West Coast Invite Entry Fee 18U Entry Fee - BOYS,18U Entry Fee - BOYS,B18112821IM
SCB 18N City T,SCB 18 Mel,2025 BOYS West Coast Invite Entry Fee 18U Entry Fee - BOYS,18U Entry Fee - BOYS,SCB 18 Mel
South County 12 Jonny,G12SCVBC1IM,2025 GIRLS West Coast Invite Entry Fee  12U Entry Fee - GIRLS,12U Entry Fee - GIRLS,G12SCVBC1IM
South County 13 Erica,G13SCVBC1IM,2025 GIRLS West Coast Invite Entry Fee  13U Entry Fee - GIRLS,13U Entry Fee - GIRLS,G13SCVBC1IM
South County 15 Sarah,G15SCVBC1IM,2025 GIRLS West Coast Invite Entry Fee  15U Entry Fee - GIRLS,15U Entry Fee - GIRLS,G15SCVBC1IM
South County 16 Napoleon,B16SCVBC1IM,2025 BOYS West Coast Invite Entry Fee 16U Entry Fee - BOYS,16U Entry Fee - BOYS,B16SCVBC1IM
South County 16 Penina,G16SCVBC1IM,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,G16SCVBC1IM
South County 17 Bonnie/Erika,G17SCVBC1IM,2025 GIRLS West Coast Invite Entry Fee  17U Entry Fee - GIRLS,17U Entry Fee - GIRLS,G17SCVBC1IM
South County 17 Gio,G17SCVBC2IM,2025 GIRLS West Coast Invite Entry Fee  17U Entry Fee - GIRLS,17U Entry Fee - GIRLS,b17SCVBC1im
South County 18 Roberto,B18SCVBC1IM,2025 BOYS West Coast Invite Entry Fee 18U Entry Fee - BOYS,18U Entry Fee - BOYS,B18SCVBC1IM
SUSA 17/18,SUSA 17,2025 GIRLS West Coast Invite Entry Fee  17U Entry Fee - GIRLS,17U Entry Fee - GIRLS,SUSA
SWVC 14 1,G14SWVBC1IM,2025 GIRLS West Coast Invite Entry Fee  14U Entry Fee - GIRLS,14U Entry Fee - GIRLS,G14SWVBC1IM
Tstreet SN 15-DJ,G15TSRSN1NC,2025 GIRLS West Coast Invite Entry Fee  15U Entry Fee - GIRLS,15U Entry Fee - GIRLS,G15TSRSN1NC
Tstreet SN 15-Dylan,G15TSRSN2NC,2025 GIRLS West Coast Invite Entry Fee  15U Entry Fee - GIRLS,15U Entry Fee - GIRLS,G15TSRSN2NC
Tstreet SN 16-Ally,G16TSRSN2NC,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,G16TSRSN2NC
Tstreet SN 16-Dana,G16TSRSN1NC,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,G16TSRSN1NC
U16 1 Black Allen,G16RNVTR1EV,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,G16RNVTR1EV
Vortex - Desiree,VRTXVB,2025 BOYS West Coast Invite Entry Fee 16U Entry Fee - BOYS,16U Entry Fee - BOYS,b16vorvb1im
Vortex - Desiree,Vortex,2025 BOYS West Coast Invite Entry Fee 17U Entry Fee - BOYS,17U Entry Fee - BOYS,b16vorvb1im
Vortex - Nick,VRTXVB,2025 BOYS West Coast Invite Entry Fee 17U Entry Fee - BOYS,17U Entry Fee - BOYS,W3ETYE
Vortex 14 - Ryan,VRTXVBC,2025 BOYS West Coast Invite Entry Fee 14U Entry Fee - BOYS,14U Entry Fee - BOYS,W3ETYE
Vortex VBC 16 - Art,VRTXVBC,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,g15vorvb1im
WYO-ACE 16U RED,G16WYOAC1RM,2025 GIRLS West Coast Invite Entry Fee  16U Entry Fee - GIRLS,16U Entry Fee - GIRLS,
